DATAFLOW;LAST UPDATE;freq;indic_ur;cities;TIME_PERIOD;OBS_VALUE;OBS_FLAG;CONF_STATUS
ESTAT:URB_CPOP1(1.0);12/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2013;3207247;;
ESTAT:URB_CPOP1(1.0);13/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2014;3165235;;
ESTAT:URB_CPOP1(1.0);14/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2015;4852911;b;
ESTAT:URB_CPOP1(1.0);15/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2016;4878277;;
ESTAT:URB_CPOP1(1.0);16/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2017;4904291;;
ESTAT:URB_CPOP1(1.0);17/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2018;4955432;;
ESTAT:URB_CPOP1(1.0);18/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2019;5012504;;
ESTAT:URB_CPOP1(1.0);19/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2020;5098717;;
ESTAT:URB_CPOP1(1.0);20/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2021;5055735;;
ESTAT:URB_CPOP1(1.0);21/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2022;5030132;;
ESTAT:URB_CPOP1(1.0);22/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2023;5115272;;
ESTAT:URB_CPOP1(1.0);23/11/2025 23:00;Annual;Population on the 1st of January, total;Madrid (greater city);2024;4501429;;
ESTAT:URB_CPOP1(1.0);24/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2013;3190951;;
ESTAT:URB_CPOP1(1.0);25/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2014;3176357;;
ESTAT:URB_CPOP1(1.0);26/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2015;3610906;b;
ESTAT:URB_CPOP1(1.0);27/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2016;3624554;;
ESTAT:URB_CPOP1(1.0);28/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2017;3648483;;
ESTAT:URB_CPOP1(1.0);29/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2018;3665687;;
ESTAT:URB_CPOP1(1.0);30/11/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2019;3701270;;
ESTAT:URB_CPOP1(1.0);01/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2020;3755512;;
ESTAT:URB_CPOP1(1.0);02/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2021;3719096;;
ESTAT:URB_CPOP1(1.0);03/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2022;3720333;;
ESTAT:URB_CPOP1(1.0);04/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2023;3767382;;
ESTAT:URB_CPOP1(1.0);05/12/2025 23:00;Annual;Population on the 1st of January, total;Barcelona (greater city);2024;2658830;;
ESTAT:URB_CPOP1(1.0);06/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2013;1375241;;
ESTAT:URB_CPOP1(1.0);07/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2014;1379510;;
ESTAT:URB_CPOP1(1.0);08/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2015;1383908;;
ESTAT:URB_CPOP1(1.0);09/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2016;1388368;;
ESTAT:URB_CPOP1(1.0);10/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2017;1386992;;
ESTAT:URB_CPOP1(1.0);11/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2018;1393606;;
ESTAT:URB_CPOP1(1.0);12/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2019;1403247;;
ESTAT:URB_CPOP1(1.0);13/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2020;1417464;;
ESTAT:URB_CPOP1(1.0);14/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2021;1408030;;
ESTAT:URB_CPOP1(1.0);15/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2022;1414213;;
ESTAT:URB_CPOP1(1.0);16/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2023;1439503;;
ESTAT:URB_CPOP1(1.0);17/12/2025 23:00;Annual;Population on the 1st of January, total;Valencia (greater city);2024;1474632;;
ESTAT:URB_CPOP1(1.0);18/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2013;879520;;
ESTAT:URB_CPOP1(1.0);19/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2014;880634;;
ESTAT:URB_CPOP1(1.0);20/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2015;881439;;
ESTAT:URB_CPOP1(1.0);21/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2016;879806;;
ESTAT:URB_CPOP1(1.0);22/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2017;879624;;
ESTAT:URB_CPOP1(1.0);23/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2018;879870;;
ESTAT:URB_CPOP1(1.0);24/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2019;880726;;
ESTAT:URB_CPOP1(1.0);25/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2020;884899;;
ESTAT:URB_CPOP1(1.0);26/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2021;878677;;
ESTAT:URB_CPOP1(1.0);27/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2022;876754;;
ESTAT:URB_CPOP1(1.0);28/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2023;881124;;
ESTAT:URB_CPOP1(1.0);29/12/2025 23:00;Annual;Population on the 1st of January, total;Sevilla;2024;686741;;
ESTAT:URB_CPOP1(1.0);30/12/2025 23:00;Annual;Population on the 1st of January, total;Zaragoza;2013;682004;;
ESTAT:URB_CPOP1(1.0);31/12/2025 23:00;Annual;Population on the 1st of January, total;Zaragoza;2014;666058;;
ESTAT:URB_CPOP1(1.0);01/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2015;664953;;
ESTAT:URB_CPOP1(1.0);02/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2016;661108;;
ESTAT:URB_CPOP1(1.0);03/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2017;664938;;
ESTAT:URB_CPOP1(1.0);04/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2018;666880;;
ESTAT:URB_CPOP1(1.0);05/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2019;674997;;
ESTAT:URB_CPOP1(1.0);06/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2020;681877;;
ESTAT:URB_CPOP1(1.0);07/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2021;675301;;
ESTAT:URB_CPOP1(1.0);08/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2022;673010;;
ESTAT:URB_CPOP1(1.0);09/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2023;683949;;
ESTAT:URB_CPOP1(1.0);10/01/2026 23:00;Annual;Population on the 1st of January, total;Zaragoza;2024;691037;;
ESTAT:URB_CPOP1(1.0);11/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2013;438246;;
ESTAT:URB_CPOP1(1.0);12/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2014;439712;;
ESTAT:URB_CPOP1(1.0);13/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2015;439889;;
ESTAT:URB_CPOP1(1.0);14/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2016;441003;;
ESTAT:URB_CPOP1(1.0);15/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2017;443243;;
ESTAT:URB_CPOP1(1.0);16/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2018;447182;;
ESTAT:URB_CPOP1(1.0);17/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2019;453258;;
ESTAT:URB_CPOP1(1.0);18/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2020;459403;;
ESTAT:URB_CPOP1(1.0);19/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2021;460349;;
ESTAT:URB_CPOP1(1.0);20/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2022;462979;;
ESTAT:URB_CPOP1(1.0);21/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2023;467501;;
ESTAT:URB_CPOP1(1.0);22/01/2026 23:00;Annual;Population on the 1st of January, total;Murcia;2024;471982;;
ESTAT:URB_CPOP1(1.0);23/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2013;309714;;
ESTAT:URB_CPOP1(1.0);24/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2014;306830;;
ESTAT:URB_CPOP1(1.0);25/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2015;303905;;
ESTAT:URB_CPOP1(1.0);26/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2016;301876;;
ESTAT:URB_CPOP1(1.0);27/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2017;299715;;
ESTAT:URB_CPOP1(1.0);28/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2018;298866;;
ESTAT:URB_CPOP1(1.0);29/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2019;298412;;
ESTAT:URB_CPOP1(1.0);30/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2020;299265;;
ESTAT:URB_CPOP1(1.0);31/01/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2021;297775;;
ESTAT:URB_CPOP1(1.0);01/02/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2022;295639;;
ESTAT:URB_CPOP1(1.0);02/02/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2023;297129;;
ESTAT:URB_CPOP1(1.0);03/02/2026 23:00;Annual;Population on the 1st of January, total;Valladolid (greater city);2024;322066;;
ESTAT:URB_CPOP1(1.0);04/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2013;787515;;
ESTAT:URB_CPOP1(1.0);05/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2014;788521;;
ESTAT:URB_CPOP1(1.0);06/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2015;790148;;
ESTAT:URB_CPOP1(1.0);07/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2016;797003;;
ESTAT:URB_CPOP1(1.0);08/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2017;790423;;
ESTAT:URB_CPOP1(1.0);09/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2018;791054;;
ESTAT:URB_CPOP1(1.0);10/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2019;792617;;
ESTAT:URB_CPOP1(1.0);11/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2020;797590;;
ESTAT:URB_CPOP1(1.0);12/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2021;791740;;
ESTAT:URB_CPOP1(1.0);13/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2022;787516;;
ESTAT:URB_CPOP1(1.0);14/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2023;790197;;
ESTAT:URB_CPOP1(1.0);15/02/2026 23:00;Annual;Population on the 1st of January, total;Bilbao (greater city);2024;782473;;
ESTAT:URB_CPOP1(1.0);16/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2013;335052;;
ESTAT:URB_CPOP1(1.0);17/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2014;332067;;
ESTAT:URB_CPOP1(1.0);18/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2015;328648;;
ESTAT:URB_CPOP1(1.0);19/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2016;330525;;
ESTAT:URB_CPOP1(1.0);20/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2017;329988;;
ESTAT:URB_CPOP1(1.0);21/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2018;331577;;
ESTAT:URB_CPOP1(1.0);22/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2019;334887;;
ESTAT:URB_CPOP1(1.0);23/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2020;337482;;
ESTAT:URB_CPOP1(1.0);24/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2021;337304;;
ESTAT:URB_CPOP1(1.0);25/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2022;338577;;
ESTAT:URB_CPOP1(1.0);26/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2023;350598;;
ESTAT:URB_CPOP1(1.0);27/02/2026 23:00;Annual;Population on the 1st of January, total;Alicante/Alacant (greater city);2024;503432;;
ESTAT:URB_CPOP1(1.0);28/02/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2013;355328;;
ESTAT:URB_CPOP1(1.0);01/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2014;355987;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2015;356654;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2016;356696;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2017;357347;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2018;360405;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2019;364815;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2020;368105;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2021;366573;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2022;366503;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2023;368482;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Santa Cruz de Tenerife (greater city);2024;371341;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2013;245923;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2014;244810;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2015;243870;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2016;243978;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2017;244099;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2018;244850;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2019;245711;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2020;247604;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2021;245468;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2022;244700;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2023;247350;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;A Coruńa (greater city);2024;305086;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2013;172693;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2014;172487;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2015;172121;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2016;172426;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2017;172816;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2018;173050;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2019;173329;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2020;174336;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2021;172722;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2022;172357;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2023;173202;;
ESTAT:URB_CPOP1(1.0);02/03/2026 23:00;Annual;Population on the 1st of January, total;Albacete;2024;174073;;
